created_on,name,database_name,schema_name,kind,comment,cluster_by,rows,bytes,owner,retention_time,automatic_clustering,change_tracking,is_external,enable_schema_evolution,owner_role_type,is_event,budget
2023-03-13,CUSTOM_FACEBOOK_MARKETING_FACEBOOK_EGGOZ_ADS_INSIGHTS_AD_IMPRESSION_ACTIONS,EGGOZDB,MAPLEMONK,TABLE,,LINEAR(_AIRBYTE_EMITTED_AT),0,0,ACCOUNTADMIN,1,ON,OFF,N,N,ROLE,N,
2023-03-13,CUSTOM_FACEBOOK_MARKETING_FACEBOOK_EGGOZ_ADS_INSIGHTS_CATALOG_SEGMENT_ACTIONS,EGGOZDB,MAPLEMONK,TABLE,,LINEAR(_AIRBYTE_EMITTED_AT),0,0,ACCOUNTADMIN,1,ON,OFF,N,N,ROLE,N,
2023-03-13,CUSTOM_FACEBOOK_MARKETING_FACEBOOK_EGGOZ_ADS_INSIGHTS_CATALOG_SEGMENT_VALUE,EGGOZDB,MAPLEMONK,TABLE,,LINEAR(_AIRBYTE_EMITTED_AT),0,0,ACCOUNTADMIN,1,ON,OFF,N,N,ROLE,N,
2023-03-13,CUSTOM_FACEBOOK_MARKETING_FACEBOOK_EGGOZ_ADS_INSIGHTS_CATALOG_SEGMENT_VALUE_MOBILE_PURCHASE_ROAS,EGGOZDB,MAPLEMONK,TABLE,,LINEAR(_AIRBYTE_EMITTED_AT),18638,1536512,ACCOUNTADMIN,1,ON,OFF,N,N,ROLE,N,
2023-03-13,CUSTOM_FACEBOOK_MARKETING_FACEBOOK_EGGOZ_ADS_INSIGHTS_CATALOG_SEGMENT_VALUE_OMNI_PURCHASE_ROAS,EGGOZDB,MAPLEMONK,TABLE,,LINEAR(_AIRBYTE_EMITTED_AT),0,0,ACCOUNTADMIN,1,ON,OFF,N,N,ROLE,N,
2023-03-13,CUSTOM_FACEBOOK_MARKETING_FACEBOOK_EGGOZ_ADS_INSIGHTS_CATALOG_SEGMENT_VALUE_WEBSITE_PURCHASE_ROAS,EGGOZDB,MAPLEMONK,TABLE,,LINEAR(_AIRBYTE_EMITTED_AT),0,0,ACCOUNTADMIN,1,ON,OFF,N,N,ROLE,N,
2023-03-13,CUSTOM_FACEBOOK_MARKETING_FACEBOOK_EGGOZ_ADS_INSIGHTS_CONVERSIONS,EGGOZDB,MAPLEMONK,TABLE,,LINEAR(_AIRBYTE_EMITTED_AT),0,0,ACCOUNTADMIN,1,ON,OFF,N,N,ROLE,N,
2023-03-13,CUSTOM_FACEBOOK_MARKETING_FACEBOOK_EGGOZ_ADS_INSIGHTS_CONVERSION_VALUES,EGGOZDB,MAPLEMONK,TABLE,,LINEAR(_AIRBYTE_EMITTED_AT),0,0,ACCOUNTADMIN,1,ON,OFF,N,N,ROLE,N,
2023-03-13,CUSTOM_FACEBOOK_MARKETING_FACEBOOK_EGGOZ_ADS_INSIGHTS_CONVERTED_PRODUCT_QUANTITY,EGGOZDB,MAPLEMONK,TABLE,,LINEAR(_AIRBYTE_EMITTED_AT),0,0,ACCOUNTADMIN,1,ON,OFF,N,N,ROLE,N,
2023-03-13,CUSTOM_FACEBOOK_MARKETING_FACEBOOK_EGGOZ_ADS_INSIGHTS_CONVERTED_PRODUCT_VALUE,EGGOZDB,MAPLEMONK,TABLE,,LINEAR(_AIRBYTE_EMITTED_AT),0,0,ACCOUNTADMIN,1,ON,OFF,N,N,ROLE,N,
2023-03-13,CUSTOM_FACEBOOK_MARKETING_FACEBOOK_EGGOZ_ADS_INSIGHTS_COST_PER_15_SEC_VIDEO_VIEW,EGGOZDB,MAPLEMONK,TABLE,,LINEAR(_AIRBYTE_EMITTED_AT),0,0,ACCOUNTADMIN,1,ON,OFF,N,N,ROLE,N,
2023-03-13,CUSTOM_FACEBOOK_MARKETING_FACEBOOK_EGGOZ_ADS_INSIGHTS_COST_PER_2_SEC_CONTINUOUS_VIDEO_VIEW,EGGOZDB,MAPLEMONK,TABLE,,LINEAR(_AIRBYTE_EMITTED_AT),0,0,ACCOUNTADMIN,1,ON,OFF,N,N,ROLE,N,
2023-03-13,CUSTOM_FACEBOOK_MARKETING_FACEBOOK_EGGOZ_ADS_INSIGHTS_COST_PER_ACTION_TYPE,EGGOZDB,MAPLEMONK,TABLE,,LINEAR(_AIRBYTE_EMITTED_AT),0,0,ACCOUNTADMIN,1,ON,OFF,N,N,ROLE,N,
2023-03-13,CUSTOM_FACEBOOK_MARKETING_FACEBOOK_EGGOZ_ADS_INSIGHTS_COST_PER_AD_CLICK,EGGOZDB,MAPLEMONK,TABLE,,LINEAR(_AIRBYTE_EMITTED_AT),0,0,ACCOUNTADMIN,1,ON,OFF,N,N,ROLE,N,
