,Date,Energy Required (MU)
518,02-10-2013,253.858
519,03-10-2013,238.506
520,04-10-2013,235.76
521,05-10-2013,246.275
522,06-10-2013,245.701
523,07-10-2013,234.599
524,08-10-2013,239.964
525,09-10-2013,228.067
526,10-10-2013,234.916
527,11-10-2013,232.718
528,12-10-2013,236.251
529,13-10-2013,230.479
530,14-10-2013,236.581
531,15-10-2013,251.322
532,16-10-2013,258.182
533,17-10-2013,268.936
534,18-10-2013,271.299
535,19-10-2013,268.972
536,20-10-2013,256.34
537,21-10-2013,253.382
538,22-10-2013,233.7
539,23-10-2013,219.593
540,24-10-2013,205.787
541,25-10-2013,197.63
542,26-10-2013,195.351
543,27-10-2013,192.085
544,28-10-2013,207.8
545,29-10-2013,216.37
546,30-10-2013,222.517
547,31-10-2013,225.315
548,01-11-2013,226.65
549,02-11-2013,227.229
550,03-11-2013,209.863
551,04-11-2013,219.616
552,05-11-2013,227.303
553,06-11-2013,231.065
554,07-11-2013,234.075
555,08-11-2013,235.413
556,09-11-2013,233.678
557,10-11-2013,228.572
558,11-11-2013,232.807
559,12-11-2013,235.105
560,13-11-2013,234.234
561,14-11-2013,234.549
562,15-11-2013,231.638
563,16-11-2013,225.288
564,17-11-2013,216.396
565,18-11-2013,224.878
566,19-11-2013,234.553
567,20-11-2013,235.924
568,21-11-2013,236.068
569,22-11-2013,224.098
570,23-11-2013,221.309
571,24-11-2013,215.313
572,25-11-2013,223.221
573,26-11-2013,228.837
574,27-11-2013,229.042
575,28-11-2013,221.33
576,29-11-2013,216.976
577,30-11-2013,224.566
578,01-12-2013,223.684
579,02-12-2013,233.025
580,03-12-2013,233.045
581,04-12-2013,231.953
582,05-12-2013,227.53
583,06-12-2013,231.704
584,07-12-2013,229.878
585,08-12-2013,224.587
586,09-12-2013,228.952
587,10-12-2013,233.439
588,11-12-2013,240.424
589,12-12-2013,241.975
590,13-12-2013,241.921
591,14-12-2013,235.398
592,15-12-2013,231.455
593,16-12-2013,241.185
594,17-12-2013,245.08
595,18-12-2013,250.038
596,19-12-2013,246.673
597,20-12-2013,251.607
598,21-12-2013,250.312
599,22-12-2013,245.123
600,23-12-2013,249.12
601,24-12-2013,252.68
602,25-12-2013,251.394
603,26-12-2013,253.603
604,27-12-2013,255.448
605,28-12-2013,254.405
606,29-12-2013,244.822
607,30-12-2013,246.71
608,31-12-2013,252.998
609,01-01-2014,245.651
610,02-01-2014,254.005
611,03-01-2014,260.335
612,04-01-2014,259.758
613,05-01-2014,254.92
614,06-01-2014,261.424
615,07-01-2014,266.721
616,08-01-2014,271.435
617,09-01-2014,272.216
618,10-01-2014,275.29
619,11-01-2014,272.366
620,12-01-2014,270.828
621,13-01-2014,271.086
622,14-01-2014,260.963
623,15-01-2014,256.877
624,16-01-2014,263.985
625,17-01-2014,267.776
626,18-01-2014,270.339
627,19-01-2014,266.321
628,20-01-2014,273.298
629,21-01-2014,276.56
630,22-01-2014,276.225
631,23-01-2014,279.061
632,24-01-2014,278.724
633,25-01-2014,279.579
634,26-01-2014,271.162
635,27-01-2014,274.834
636,28-01-2014,278.275
637,29-01-2014,280.127
638,30-01-2014,280.964
639,31-01-2014,282.324
640,01-02-2014,285.391
641,02-02-2014,273.84
642,03-02-2014,278.609
643,04-02-2014,284.331
644,05-02-2014,282.812
645,06-02-2014,283.647
646,07-02-2014,285.163
647,08-02-2014,287.461
648,09-02-2014,280.21
649,10-02-2014,285.203
650,11-02-2014,291.292
651,12-02-2014,290.096
652,13-02-2014,295.069
653,14-02-2014,293.926
654,15-02-2014,290.202
655,16-02-2014,274.351
656,17-02-2014,284.217
657,18-02-2014,287.656
658,19-02-2014,288.594
659,20-02-2014,289.516
660,21-02-2014,291.873
661,22-02-2014,299.852
662,23-02-2014,288.731
663,24-02-2014,290.356
664,25-02-2014,294.922
665,26-02-2014,296.136
666,27-02-2014,301.012
667,28-02-2014,287.719
668,01-03-2014,282.532
669,02-03-2014,267.456
670,03-03-2014,265.07
671,04-03-2014,259.144
672,05-03-2014,261.183
673,06-03-2014,260.981
674,07-03-2014,267.03
675,08-03-2014,267.493
676,09-03-2014,259.215
677,10-03-2014,270.494
678,11-03-2014,275.996
679,12-03-2014,283.867
680,13-03-2014,288.212
681,14-03-2014,293.732
682,15-03-2014,297.185
683,16-03-2014,289.59
684,17-03-2014,291.39
685,18-03-2014,300.898
686,19-03-2014,311.847
687,20-03-2014,314.001
688,21-03-2014,317.0
689,22-03-2014,311.364
690,23-03-2014,305.802
691,24-03-2014,311.994
692,25-03-2014,313.964
693,26-03-2014,315.594
694,27-03-2014,311.789
695,28-03-2014,315.838
696,29-03-2014,318.803
697,30-03-2014,309.136
698,31-03-2014,311.226
699,01-04-2014,311.999
700,02-04-2014,312.627
701,03-04-2014,315.8
702,04-04-2014,319.756
703,05-04-2014,313.401
704,06-04-2014,301.392
705,07-04-2014,317.031
706,08-04-2014,315.831
707,09-04-2014,303.884
708,10-04-2014,297.952
709,11-04-2014,309.081
710,12-04-2014,307.787
711,13-04-2014,297.222
712,14-04-2014,298.172
713,15-04-2014,301.12
714,16-04-2014,302.155
715,17-04-2014,306.009
716,18-04-2014,298.543
717,19-04-2014,295.263
718,20-04-2014,276.718
719,21-04-2014,288.011
720,22-04-2014,292.807
721,23-04-2014,297.23
722,24-04-2014,301.889
723,25-04-2014,301.53
724,26-04-2014,298.103
725,27-04-2014,289.215
726,28-04-2014,297.009
727,29-04-2014,298.184
728,30-04-2014,278.037
729,01-05-2014,273.753
730,02-05-2014,284.457
731,03-05-2014,279.09
732,04-05-2014,263.467
733,05-05-2014,263.909
734,06-05-2014,267.995
735,07-05-2014,258.018
736,08-05-2014,254.507
737,09-05-2014,228.674
738,10-05-2014,223.726
739,11-05-2014,238.518
740,12-05-2014,252.31
741,13-05-2014,261.342
742,14-05-2014,259.416
743,15-05-2014,258.782
744,16-05-2014,265.852
745,17-05-2014,263.943
746,18-05-2014,257.426
747,19-05-2014,258.017
748,20-05-2014,249.959
749,21-05-2014,262.255
750,22-05-2014,263.084
751,23-05-2014,269.497
752,24-05-2014,269.999
753,25-05-2014,253.743
754,26-05-2014,259.136
755,27-05-2014,261.308
756,28-05-2014,263.349
757,29-05-2014,266.868
758,30-05-2014,271.233
759,31-05-2014,275.557
760,01-06-2014,264.038
761,03-06-2014,127.584
762,04-06-2014,138.957
763,05-06-2014,142.82
764,06-06-2014,139.293
765,07-06-2014,142.51
766,08-06-2014,139.322
767,09-06-2014,0.0
768,10-06-2014,134.245
769,11-06-2014,135.555
770,12-06-2014,142.228
771,13-06-2014,145.273
772,14-06-2014,143.522
773,15-06-2014,144.095
774,01-08-2014,141.028
775,02-08-2014,142.063
776,03-08-2014,138.358
777,04-08-2014,145.666
778,05-08-2014,144.572
779,06-08-2014,146.475
780,07-08-2014,148.283
781,08-08-2014,149.451
782,09-08-2014,147.043
783,10-08-2014,144.088
784,11-08-2014,150.264
785,12-08-2014,147.233
786,13-08-2014,147.493
787,14-08-2014,147.677
788,15-08-2014,146.453
789,16-08-2014,143.84
790,17-08-2014,141.732
791,18-08-2014,138.76
792,19-08-2014,142.579
793,20-08-2014,146.602
794,21-08-2014,148.361
795,22-08-2014,150.606
796,23-08-2014,147.848
797,24-08-2014,144.52
798,25-08-2014,135.732
799,26-08-2014,132.95
800,27-08-2014,122.098
801,28-08-2014,116.488
802,29-08-2014,115.079
803,30-08-2014,120.435
804,31-08-2014,121.22
805,01-09-2014,125.366
806,02-09-2014,132.05
807,03-09-2014,139.797
808,04-09-2014,137.23
809,05-09-2014,136.599
810,06-09-2014,127.182
811,07-09-2014,124.07
812,08-09-2014,131.404
813,09-09-2014,135.172
814,10-09-2014,141.953
815,11-09-2014,143.549
816,12-09-2014,143.805
817,13-09-2014,140.986
818,14-09-2014,138.576
819,15-09-2014,136.165
820,16-09-2014,129.721
821,17-09-2014,126.887
822,18-09-2014,127.209
823,19-09-2014,130.663
824,20-09-2014,130.947
825,21-09-2014,129.048
826,22-09-2014,135.691
827,23-09-2014,140.84
828,24-09-2014,138.844
829,25-09-2014,135.701
830,26-09-2014,137.583
831,27-09-2014,137.2
832,28-09-2014,136.161
833,29-09-2014,139.494
834,30-09-2014,146.259
835,01-10-2014,145.32
836,02-10-2014,142.218
837,03-10-2014,140.185
838,04-10-2014,144.09
839,05-10-2014,144.412
840,06-10-2014,140.554
841,07-10-2014,139.035
842,08-10-2014,139.059
843,09-10-2014,138.604
844,10-10-2014,138.805
845,11-10-2014,133.545
846,12-10-2014,127.391
847,13-10-2014,133.205
848,14-10-2014,144.665
849,15-10-2014,140.754
850,16-10-2014,141.881
851,17-10-2014,143.586
852,18-10-2014,141.943
853,19-10-2014,134.874
854,20-10-2014,135.684
855,21-10-2014,136.912
856,22-10-2014,135.678
857,23-10-2014,136.774
858,24-10-2014,129.173
859,25-10-2014,133.558
860,26-10-2014,119.156
861,27-10-2014,113.589
862,28-10-2014,116.829
863,29-10-2014,125.157
864,30-10-2014,123.042
865,31-10-2014,127.874
866,01-11-2014,131.94
867,02-11-2014,124.646
868,03-11-2014,127.423
869,04-11-2014,131.31
870,05-11-2014,126.148
871,06-11-2014,126.16
872,07-11-2014,128.19
873,08-11-2014,133.111
874,09-11-2014,127.603
875,10-11-2014,127.703
876,11-11-2014,129.706
877,12-11-2014,130.68
878,13-11-2014,120.293
879,14-11-2014,119.702
